,num_peaks,signal_entropy,naming_orig,"value__agg_autocorrelation__f_agg_""var""__maxlag_40",value__approximate_entropy__m_2__r_0.1,value__ar_coefficient__coeff_7__k_10,value__autocorrelation__lag_7,value__benford_correlation,value__count_below_mean,"value__fft_aggregated__aggtype_""variance""","value__fft_coefficient__attr_""abs""__coeff_61","value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""angle""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_86","value__fft_coefficient__attr_""angle""__coeff_98","value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""real""__coeff_96",value__fourier_entropy__bins_10,value__fourier_entropy__bins_100,value__length,value__number_cwt_peaks__n_1,value__number_cwt_peaks__n_5,value__number_peaks__n_10,value__number_peaks__n_3,value__number_peaks__n_5,value__partial_autocorrelation__lag_7,value__range_count__max_1000000000000.0__min_0
0,87,5.100711404256486,danish_atm_daily_0,0.01714555116033098,0.8081708753975194,0.1789846224517712,0.13498684047087525,0.7930157826527682,173.0,2241.2973589226112,423.286077435595,1072.2955909020934,106.24228213125463,-156.26130916173955,80.9504649350781,936.4497999151827,-375.05045293683787,0.7893628746311586,2.622601111560438,305.0,31.0,32.0,13.0,41.0,32.0,0.13257002350087949,305.0
1,57,4.574701122033876,danish_atm_daily_1,0.021981546280642247,0.5254001947954992,0.2874062233640216,0.31087597724849186,0.8476825664941466,108.0,877.6607923907816,187.36249399516382,85.43300878947638,2.422438485357475,-90.52241148171404,-71.70620634612605,-1266.3467901119852,74.33629183457191,0.8742130096134287,2.813297307131706,198.0,21.0,21.0,11.0,28.0,20.0,0.23169107680458284,198.0
2,79,5.294722021003263,danish_atm_daily_10,0.010936387474408643,1.049108413819975,0.09818950605544162,0.14076007337920748,0.37894746837231635,182.0,2264.1348327135056,358.22900228392575,995.2846060966635,58.896761539101455,-139.95928991186761,121.3344302363027,-370.87079989637243,-385.914937411643,1.3255979924593972,3.270303781210057,305.0,30.0,33.0,15.0,38.0,28.0,0.07228866441816516,305.0
3,87,5.210384920337075,danish_atm_daily_100,0.019859142052816497,0.846618894977798,0.2695772024217362,0.2346650473038726,0.24556418604758898,165.0,2216.562090049793,281.7481977108619,377.9107758625774,162.4555797636874,-170.164508796768,39.418635617444735,241.63413325211488,-3.0027157928334525,1.0122660474133731,3.0751712095832704,302.0,33.0,32.0,13.0,40.0,29.0,0.2254818753491571,302.0
4,51,4.689042844645675,danish_atm_daily_101,0.014828883449431129,0.531870718082061,0.2914027545104471,0.24689858425800654,0.4221531594715898,99.0,783.7347857629412,357.5278439574872,0.0,-16.22286250599934,56.16383169214535,0.0,259.3397276788991,0.0,1.520826715003653,3.400282688577224,180.0,21.0,18.0,7.0,21.0,17.0,0.26195502643898705,180.0
5,82,5.156774658240258,danish_atm_daily_102,0.025276374553506786,0.8815530431367264,0.380374622627522,0.6438755793681482,0.6322188353251974,199.0,2019.4668095564698,213.66412086896096,547.3048443297487,87.07019427973162,-131.86610120072828,32.97012004849272,31.02858677893289,-238.325981131851,0.3143931671101234,2.071082900577496,302.0,25.0,33.0,12.0,40.0,28.0,0.2867983325603299,302.0
6,87,5.099391072710094,danish_atm_daily_103,0.09529921061461054,1.0029311532215504,0.4725509792936953,0.6399962311133225,-0.02150149993357428,119.0,2003.9295018121074,403.75694503424165,1090.4300211831696,-39.80268786886072,122.54965061221185,-31.84095893760249,84.51213570111351,-766.7316122279334,0.2909255491410393,1.781584318351878,300.0,20.0,27.0,11.0,38.0,25.0,0.4603299683734894,300.0
7,84,5.240119459357012,danish_atm_daily_104,0.07116386336701422,0.8614322950318805,0.46794358265367847,0.5869975463039996,0.7820285994977939,163.0,2069.9259967315065,112.69984573632966,407.4281875305837,-94.8097089613208,121.71044887544875,-20.52987560186848,67.46853845311719,-368.1370966125965,0.3332039310505411,2.1497301898400627,300.0,30.0,23.0,13.0,41.0,31.0,0.47211340530230944,300.0
8,65,5.11547283355806,danish_atm_daily_105,0.045755588682288004,0.6711669087511662,0.24645579261597012,0.39389287364844017,0.9118573382906482,132.0,1358.743215951568,90.95099730021067,124.971755753383,-26.234973324962525,-0.6907376687688385,-5.691794297258994,41.6648467625416,-122.35337580409879,0.42360347106132945,2.3212832311802774,249.0,25.0,29.0,10.0,31.0,22.0,0.26548200019680135,249.0
9,38,4.803162045296908,danish_atm_daily_106,0.011566980100779058,0.13839075599840045,0.6778501856435678,-0.01807222223904289,0.7548544317889322,157.0,300.35888256858823,426.9320581811627,0.0,-142.85101250231983,0.0,0.0,-1283.6604888074337,0.0,1.9626611782614605,3.5697084401737462,160.0,20.0,15.0,6.0,18.0,12.0,0.2492594017753728,160.0
10,40,4.501444704061205,danish_atm_daily_107,0.01210833314718625,0.22247463922595045,0.05237165165877432,-0.07179617834394905,0.7486351155357684,75.0,506.68695011830664,50.6739433202418,0.0,80.70563002285802,0.0,0.0,-24.718360351325437,0.0,1.3646077899829843,3.1685412677014555,132.0,13.0,14.0,7.0,17.0,11.0,-0.011956318787268608,132.0
11,16,3.6506547492711245,danish_atm_daily_108,0.06524771841297616,0.2399627640255746,0.5632066039565761,0.49520377080967504,0.5990892196934153,34.0,90.64888591884416,0.0,0.0,0.0,0.0,0.0,-5.805910682653499,0.0,1.3298400406867767,2.734152898561567,63.0,9.0,10.0,1.0,6.0,5.0,0.30753916387240754,63.0
12,11,3.0132407754812847,danish_atm_daily_109,0.6658536869776284,0.028987536873251507,0.42446806654371605,0.4897200105061724,0.6206145377066533,18.0,30.461776261355418,0.0,0.0,0.0,0.0,0.0,71.69703676604252,0.0,0.9269075593909926,2.4061595753978207,36.0,5.0,5.0,0.0,4.0,3.0,0.3493272414226819,36.0
13,99,5.1739465738438515,danish_atm_daily_11,0.019962699304814212,0.6205423857589016,0.27237739929190424,0.2445869188115401,0.6344402503504162,165.0,2209.5449277177004,442.21346013660286,704.9091230609926,15.419489925061963,-164.09401206686877,118.24115200370677,-35.554373119314704,-704.9090171223011,0.61378504018237,2.572853121661065,305.0,28.0,31.0,14.0,41.0,28.0,0.22558192655684745,305.0
14,87,4.933028855815523,danish_atm_daily_12,0.02366176996465256,0.616406755440015,0.35825688853124343,0.3765499502028286,0.7374837354217573,166.0,2151.083998383826,240.0463663012358,344.9220109801438,97.79174352320257,-133.52189367384557,79.29743629096244,135.7173065404036,27.8058786449718,0.8786207155436387,2.9296327661314696,305.0,31.0,34.0,15.0,43.0,31.0,0.3056481305366057,305.0
